,GP,W,L,WIN%,MIN,PTS,AST
Sacramento Kings,57.0,32.0,25.0,0.561,48.3,119.5,26.4
Boston Celtics,59.0,42.0,17.0,0.712,48.7,117.9,24.7
Denver Nuggets,59.0,41.0,18.0,0.695,48.2,117.1,29.1
Memphis Grizzlies,57.0,35.0,22.0,0.614,48.2,116.1,25.1
 Milwaukee Bucks,58.0,41.0,17.0,0.707,48.4,114.8,24.9
New York Knicks,60.0,33.0,27.0,0.55,48.8,114.6,25.3
Philadeplphia 76ers,57.0,38.0,19.0,0.667,48.4,114.4,25.8
Brooklyn Nets,58.0,34.0,24.0,0.586,48.1,114.0,26.8
Cleveland Cavaliers,61.0,38.0,23.0,0.623,48.6,111.8,22.4
Miami Heat,59.0,32.0,27.0,0.542,48.3,108.3,23.4
Los Angeles Lakers,59.0,27.0,32.0,0.458,48.6,117.0,25.3
